token : int ; st_pos : -1
token : x1 ; st_pos : 0
token : int ; st_pos : -1
token : x2 ; st_pos : 1
token : int ; st_pos : -1
token : x3 ; st_pos : 2
token : read ; st_pos : -1
token : x1 ; st_pos : 0
token : read ; st_pos : -1
token : x2 ; st_pos : 1
token : read ; st_pos : -1
token : x3 ; st_pos : 2
token : int ; st_pos : -1
token : minn ; st_pos : 3
token : minn ; st_pos : 3
token : = ; st_pos : -1
token : x1 ; st_pos : 0
token : if ; st_pos : -1
token : x2 ; st_pos : 1
token : < ; st_pos : -1
token : x1 ; st_pos : 0
token : minn ; st_pos : 3
token : = ; st_pos : -1
token : x2 ; st_pos : 1
token : if ; st_pos : -1
token : x3 ; st_pos : 2
token : < ; st_pos : -1
token : minn ; st_pos : 3
token : minn ; st_pos : 3
token : = ; st_pos : -1
token : x3 ; st_pos : 2
token : print ; st_pos : -1
token : minn ; st_pos : 3

